Skill,Category,Priority,Type,Aliases
Keras,Machine Learning,High,Technical,
Kotlin,Mobile Development,High,Technical,
Kubernetes,DevOps,High,Technical,K8s
LLaMA,NLP,High,Technical,Llama
LangChain,NLP,High,Technical,
Leadership,Soft Skills,Medium,Soft,
Lemmatization,NLP,High,Technical,
LightGBM,Machine Learning,Medium,Technical,LGBM
Linear Regression,Machine Learning,High,Technical,
Linode,Cloud Computing,Low,Technical,
Linux,DevOps,High,Technical,
LlamaIndex,NLP,Medium,Technical,
Load Balancing,Networking,Medium,Technical,
Load Testing,Testing,Medium,Technical,
Logistic Regression,Machine Learning,High,Technical,
Long Short-Term Memory,Deep Learning,High,Technical,LSTM
Looker Studio,Data Analytics,Medium,Technical,Google Data Studio
Loss Function,Deep Learning,High,Technical,
Lua,Programming Language,Low,Technical,
MATLAB,Programming Language,Medium,Technical,
MMDetection,Computer Vision,Medium,Technical,
MVVM,Mobile Development,Medium,Technical,
Malware Analysis,Cybersecurity,Low,Technical,
Manual Testing,Testing,Medium,Technical,
MapReduce,Big Data,Medium,Technical,
MariaDB,Database,Medium,Technical,
Mask R-CNN,Computer Vision,Medium,Technical,Mask RCNN
Matplotlib,Data Analytics,High,Technical,
MediaPipe,Computer Vision,Medium,Technical,
Mentoring,Soft Skills,Low,Soft,
Microsoft Azure,Cloud Computing,High,Technical,Azure
Microsoft Excel,Data Analytics,High,Technical,Excel
Microsoft SQL Server,Database,High,Technical,MSSQL;SQL Server
Mistral,NLP,Medium,Technical,
Model Evaluation,Machine Learning,High,Technical,
MongoDB,Database,High,Technical,Mongo
MySQL,Database,High,Technical,
NLTK,NLP,High,Technical,
Naive Bayes,Machine Learning,Medium,Technical,
Named Entity Recognition,NLP,High,Technical,NER
Natural Language Processing,NLP,High,Technical,NLP
Negotiation,Soft Skills,Medium,Soft,
Neo4j,Database,Medium,Technical,
Netlify,Cloud Computing,Low,Technical,
Network Security,Cybersecurity,High,Technical,
Network Troubleshooting,Networking,Medium,Technical,
Next.js,Web Development,Medium,Technical,NextJS
Nginx,DevOps,Medium,Technical,
NoSQL,Big Data,High,Technical,
Node.js,Web Development,High,Technical,NodeJS
Notion,Tools,Low,Technical,
NumPy,Data Analytics,High,Technical,Numpy
OAuth,Web Development,Medium,Technical,
OCR,Computer Vision,High,Technical,Optical Character Recognition
ORB,Computer Vision,Low,Technical,Oriented FAST and Rotated BRIEF
OSI Model,Networking,Medium,Technical,
OWASP,Cybersecurity,High,Technical,
Object Detection,Computer Vision,High,Technical,
Object Tracking,Computer Vision,Medium,Technical,
Objective-C,Programming Language,Low,Technical,
Ollama,NLP,Medium,Technical,
OpenCV,Computer Vision,High,Technical,cv2
OpenPyXL,Data Analytics,Low,Technical,
Oracle Cloud Infrastructure,Cloud Computing,Medium,Technical,OCI
Oracle Database,Database,High,Technical,Oracle
PHP,Programming Language,Medium,Technical,
Pandas,Data Analytics,High,Technical,
Part-of-Speech Tagging,NLP,Medium,Technical,POS Tagging
Penetration Testing,Cybersecurity,Medium,Technical,Pen Testing
Performance Testing,Testing,Medium,Technical,
Perl,Programming Language,Low,Technical,
Pinecone,NLP,Medium,Technical,
Plotly,Data Analytics,Medium,Technical,
PostgreSQL,Database,High,Technical,Postgres
Postman Testing,Testing,High,Technical,
Power BI,Data Analytics,High,Technical,PowerBI
PowerShell,Operating System,Medium,Technical,
Precision,Machine Learning,High,Technical,
Presentation Skills,Soft Skills,Medium,Soft,
Principal Component Analysis,Machine Learning,Medium,Technical,PCA
Problem Solving,Soft Skills,High,Soft,
Process Management,Operating System,Medium,Technical,
Project Management,Soft Skills,Medium,Soft,
Prompt Engineering,NLP,High,Technical,
Public Key Infrastructure,Cybersecurity,Medium,Technical,PKI
Public Speaking,Soft Skills,Medium,Soft,
Push Notifications,Mobile Development,Medium,Technical,
PyCharm,Tools,Medium,Technical,
PyTest,Testing,High,Technical,
PyTorch,Machine Learning,High,Technical,Torch
Python,Programming Language,High,Technical,python3
Question Answering,NLP,Medium,Technical,QA
R,Programming Language,High,Technical,R Language
RAG,NLP,High,Technical,Retrieval Augmented Generation
REST API,Web Development,High,Technical,RESTful API
REST API Integration,Mobile Development,High,Technical,
RMSprop,Deep Learning,Medium,Technical,
ROC Curve,Machine Learning,Medium,Technical,ROC
Random Forest,Machine Learning,High,Technical,
Random Search,Machine Learning,Medium,Technical,RandomizedSearchCV
ReLU,Deep Learning,High,Technical,
React,Web Development,High,Technical,ReactJS
React Native,Mobile Development,High,Technical,
Recall,Machine Learning,High,Technical,
Recurrent Neural Networks,Deep Learning,High,Technical,RNN
Redis,Database,Medium,Technical,
Redshift,Data Engineering,Medium,Technical,
Regression,Machine Learning,High,Technical,
Regression Testing,Testing,Medium,Technical,
Reporting,Data Analytics,Medium,Technical,
Reverse Proxy,Networking,Medium,Technical,
Risk Assessment,Cybersecurity,Medium,Technical,
RoBERTa,NLP,Medium,Technical,
Room Database,Mobile Development,Medium,Technical,
Ruby,Programming Language,Low,Technical,
Rust,Programming Language,Medium,Technical,
SGD Optimizer,Deep Learning,Medium,Technical,SGD
SIEM,Cybersecurity,Medium,Technical,
SIFT,Computer Vision,Medium,Technical,Scale Invariant Feature Transform
SMTP,Networking,Medium,Technical,
SOC,Cybersecurity,Medium,Technical,Security Operations Center
SQL,Data Analytics,High,Technical,Structured Query Language
SQLite,Database,Medium,Technical,
SSD,Computer Vision,Medium,Technical,Single Shot Detector
SSH,Networking,High,Technical,
SURF,Computer Vision,Low,Technical,Speeded Up Robust Features
Scala,Programming Language,Medium,Technical,
SciPy,Data Analytics,Medium,Technical,
Scikit-learn,Machine Learning,High,Technical,sklearn
Seaborn,Data Analytics,High,Technical,
Selenium,Testing,High,Technical,
Self Learning,Soft Skills,High,Soft,Self-Learning
Self-Attention,Deep Learning,High,Technical,
Semantic Segmentation,Computer Vision,Medium,Technical,
Sentence Transformers,NLP,High,Technical,sentence-transformers
Sentiment Analysis,NLP,High,Technical,
Serverless Computing,Cloud Computing,Medium,Technical,Serverless
Shell Scripting,Operating System,High,Technical,Bash
Sigmoid,Deep Learning,Medium,Technical,
Slack,Tools,Low,Technical,
Snowflake,Database,High,Technical,
Softmax,Deep Learning,Medium,Technical,
Stakeholder Management,Soft Skills,Medium,Soft,
Statistical Analysis,Data Analytics,High,Technical,
Statsmodels,Data Analytics,Medium,Technical,
Stemming,NLP,Medium,Technical,
Streamlit,Web Development,High,Technical,
Support Vector Machine,Machine Learning,High,Technical,SVM
Swift,Mobile Development,High,Technical,
System Administration,Operating System,Medium,Technical,
System Testing,Testing,Medium,Technical,
T5,NLP,Medium,Technical,Text-to-Text Transfer Transformer
TCP/IP,Networking,High,Technical,
TF-IDF,NLP,High,Technical,TFIDF
Tableau,Data Analytics,High,Technical,
Tailwind CSS,Web Development,Medium,Technical,Tailwind
Tanh,Deep Learning,Medium,Technical,
Teamwork,Soft Skills,High,Soft,
TensorFlow,Machine Learning,High,Technical,Tensorflow
Terraform,DevOps,Medium,Technical,
TestNG,Testing,Medium,Technical,
Text Classification,NLP,High,Technical,
Text Summarization,NLP,Medium,Technical,
TextBlob,NLP,Medium,Technical,
Time Management,Soft Skills,High,Soft,
Tokenization,NLP,High,Technical,
Topic Modeling,NLP,Medium,Technical,
Transfer Learning,Deep Learning,High,Technical,
Transformer,Deep Learning,High,Technical,Transformers
Transformers,NLP,High,Technical,Hugging Face Transformers
TypeScript,Programming Language,High,Technical,TS
Ubuntu,DevOps,Medium,Technical,
Unit Testing,Testing,High,Technical,
VPN,Cybersecurity,Medium,Technical,Virtual Private Network
VS Code,Tools,High,Technical,Visual Studio Code
Variational Autoencoder,Deep Learning,Medium,Technical,VAE
Vector Database,NLP,Medium,Technical,
Verbal Communication,Soft Skills,Medium,Soft,
Vercel,Cloud Computing,Medium,Technical,
Visual Basic,Programming Language,Low,Technical,VB
Vue.js,Web Development,Medium,Technical,Vue
Vulnerability Assessment,Cybersecurity,Medium,Technical,
Windows Server,Operating System,Medium,Technical,
Word Embeddings,NLP,High,Technical,Embeddings
Word2Vec,NLP,Medium,Technical,
Work Ethic,Soft Skills,Medium,Soft,
Written Communication,Soft Skills,Medium,Soft,
XGBoost,Machine Learning,High,Technical,
XML,Web Development,Medium,Technical,
XML Layouts,Mobile Development,Medium,Technical,
YOLO,Computer Vision,High,Technical,You Only Look Once
YOLOv5,Computer Vision,Medium,Technical,
YOLOv8,Computer Vision,High,Technical,
iOS Development,Mobile Development,High,Technical,
macOS,Operating System,Low,Technical,
spaCy,NLP,High,Technical,Spacy
